timestamp,package_id,rfid_tag,location,shipping_status,customs_status,estimated_delivery,temperature_celsius
2025-05-30 08:03:45.214696,PKG7322,RFID-541798,"NAIA, Manila",Arrived in destination country,N/A,2025-06-01,19.7
2025-05-27 11:03:45.214740,PKG5213,RFID-514690,"Shenzhen, China",Package received,N/A,2025-05-29,18.6
2025-05-27 03:03:45.214750,PKG8990,RFID-404332,PH Customs,Cleared customs,Cleared,2025-05-28,24.5
2025-05-29 03:03:45.214759,PKG7075,RFID-948487,PH Customs,Cleared customs,Cleared,2025-06-03,21.1
2025-05-31 02:03:45.214768,PKG6081,RFID-238626,"Shenzhen, China",Package received,N/A,2025-06-02,18.0
2025-05-30 11:03:45.214777,PKG3473,RFID-771516,PH Customs,Cleared customs,Cleared,2025-06-02,25.5
2025-05-27 04:03:45.214786,PKG5376,RFID-724849,"Shanghai, China",Departed from origin facility,N/A,2025-05-28,29.2
2025-05-29 23:03:45.214799,PKG3549,RFID-398877,Shanghai Customs,Cleared customs,Cleared,2025-05-31,16.4
2025-05-29 06:03:45.214809,PKG3692,RFID-234888,Shanghai Customs,Cleared customs,Cleared,2025-05-30,26.6
2025-05-30 15:03:45.214818,PKG5458,RFID-596231,"Shenzhen, China",Package received,N/A,2025-06-04,17.9
2025-05-26 11:03:45.214827,PKG2912,RFID-420175,Pasig City Hub,Out for delivery,N/A,2025-05-27,22.7
2025-05-27 14:03:45.214838,PKG6568,RFID-232072,"Shenzhen, China",Package received,N/A,2025-06-01,18.4
2025-05-27 01:03:45.214846,PKG3848,RFID-394652,In Transit - Air,Flight en route to PH,N/A,2025-05-30,17.6
2025-05-26 10:03:45.214854,PKG3730,RFID-903048,"Shanghai, China",Departed from origin facility,N/A,2025-05-27,27.5
2025-05-27 07:03:45.214865,PKG6114,RFID-759698,"Shenzhen, China",Package received,N/A,2025-05-31,24.7
2025-05-31 14:03:45.214873,PKG2765,RFID-200445,Pasig City,Delivered,N/A,2025-06-01,15.5
